#
#@@id=rowId1,...
#key1;value2
#key2;value2

@@id=310020,310010,310000
#SpEffectParam,Crimson Amber Medallion
maxHpRate;1.2
maxStaminaRate;1.2
maxMpRate;1.2
motionInterval;1
changeHpPoint;-5
changeMpPoint;-2
itemDropRate;5
soulRate;1.2
hearingSearchEnemyRate;0
fallDamageRate;0
disableMadness;1
disablePoison;1
disableDisease;1
disableBlood;1
disableFreeze;1
disableSleep;1
disableCurse;1
artsConsumptionRate;0.75
magicConsumptionRate;0.75
shamanConsumptionRate;0.75
miracleConsumptionRate;0.75
defEnemyDmgCorrectRate_Physics;0.7
defEnemyDmgCorrectRate_Magic;0.7
defEnemyDmgCorrectRate_Fire;0.7
defEnemyDmgCorrectRate_Thunder;0.7
defEnemyDmgCorrectRate_Dark;0.7
equipWeightChangeRate;1.5

physicsAttackRate;1.08 
magicAttackRate;1.08 
fireAttackRate;1.08 
thunderAttackRate;1.08

bowDistRate;65
 
